Episode,Reward,PolicyLoss,ValueLoss
1,434.6031664848931,-39.48453903198242,4038.24365234375
2,-4661.904376640821,753.738037109375,350776.3125
3,17.224704432579582,10.677925109863281,6421.9619140625
4,447.9893562603615,-38.35022735595703,4220.35546875
5,813.2774013500391,-57.09046936035156,7290.6630859375
6,452.82112577683205,-32.68088912963867,2708.615478515625
7,324.91432697282914,-13.163132667541504,4086.29052734375
8,-64.71585450696031,21.638538360595703,4594.03125
9,310.9523058546282,-30.309009552001953,4244.5234375
10,455.00903312087905,-37.40553283691406,3046.26904296875
11,658.789248458113,-56.58644104003906,4728.8427734375
12,769.5293283396203,-63.24456024169922,6298.443359375
13,191.87298114190585,-24.257583618164062,4183.30029296875
14,608.1632014220071,-48.88166046142578,4512.58740234375
15,687.823527538361,-57.953269958496094,5010.943359375
16,919.8839957335001,-74.53709411621094,6764.177734375
17,810.5252373788538,-70.2356948852539,6096.77880859375
18,855.8213571069014,-70.01980590820312,5964.03173828125
19,636.2893461194162,-48.287620544433594,3497.750732421875
20,618.0062018305334,-42.028533935546875,3265.49609375
