Episode,Reward,PolicyLoss,ValueLoss
1,1298.450790760505,-108.81471252441406,15472.626953125
2,1346.4067984017845,-113.53182983398438,15690.166015625
3,1399.3330731579215,-117.84257507324219,16814.544921875
4,1316.003255550165,-114.11784362792969,14941.212890625
5,1365.2171175701542,-118.23033905029297,14924.92578125
6,1423.8956302282268,-122.39319610595703,15967.9326171875
7,1404.9566761707617,-117.3663330078125,14596.22265625
8,1396.0324439130209,-122.19164276123047,15928.462890625
9,1466.19170713443,-119.97718811035156,15586.1806640625
10,1387.9336110393765,-116.03858184814453,14710.392578125
11,1433.9156108299544,-115.14420318603516,14291.583984375
12,1333.049328642061,-105.4402084350586,12035.9501953125
13,1416.9523627022868,-108.104248046875,12601.0234375
14,1359.4219385224396,-97.41959381103516,10327.3349609375
15,1378.7057637714493,-96.63475036621094,10434.4541015625
16,1217.2309278196826,-78.69672393798828,6864.00244140625
17,1432.6876826144335,-94.96589660644531,10018.162109375
18,1417.3581891509073,-85.76058197021484,8764.34765625
19,1321.4840753171582,-75.7086181640625,6792.72509765625
20,1355.9379111364406,-71.31078338623047,5982.92919921875
