Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,-2353,5233.3837890625,67878.703125,500.32142857142856
2,-2530,508.8999328613281,77847.578125,497.42857142857144
3,-2439,2006.333251953125,79966.6484375,798.1071428571429
4,-2698,413.67803955078125,81805.5390625,444.92857142857144
5,-2302,189.594970703125,68661.46875,481.89285714285717
6,-2316,169.77316284179688,67619.0234375,639.2142857142857
7,-2399,170.5630340576172,65540.578125,464.57142857142856
8,-2429,181.12977600097656,74586.359375,322.57142857142856
9,-2420,169.6619415283203,72670.484375,524.0
