Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,-1687,0.0,29303.552734375,220.92857142857142
2,-1687,0.0,29280.7265625,220.92857142857142
3,-1687,0.0,29257.66796875,220.92857142857142
4,-1687,0.0,29235.068359375,220.92857142857142
5,-1687,0.0,29211.904296875,220.92857142857142
6,-1687,0.0,29187.4140625,220.92857142857142
7,-1687,0.0,29161.55078125,220.92857142857142
8,-1687,0.0,29135.0390625,220.92857142857142
9,-1687,0.0,29107.712890625,220.92857142857142
10,-1687,0.0,29078.712890625,220.92857142857142
11,-1687,0.0,29048.14453125,220.92857142857142
12,-1687,0.0,29016.775390625,220.92857142857142
13,-1687,0.0,28983.9921875,220.92857142857142
14,-1687,0.0,28949.205078125,220.92857142857142
15,-1687,0.0,28911.9765625,220.92857142857142
16,-1687,0.0,28872.421875,220.92857142857142
17,-1687,0.0,28830.13671875,220.92857142857142
18,-1687,0.0,28785.595703125,220.92857142857142
19,-1687,0.0,28737.708984375,220.92857142857142
20,-1687,0.0,28687.224609375,220.92857142857142
21,-1687,0.0,28634.90234375,220.92857142857142
22,-1687,0.0,28579.9296875,220.92857142857142
