Episode,Reward,PolicyLoss,ValueLoss
1,-7570.147952649792,954.084716796875,512839.8125
2,-553.987400891907,49.088287353515625,8934.076171875
3,-91.42349975732375,-16.073604583740234,6790.02197265625
4,-247.79724708516378,4.3233489990234375,4514.30078125
5,-347.8422567115125,13.930612564086914,5138.1435546875
6,-611.1790706807353,28.12281036376953,12373.6875
7,-598.5021548529409,40.213897705078125,6229.8837890625
8,103.58745310451255,-18.90426254272461,2300.871826171875
9,-606.6636105719492,36.07457733154297,5984.60400390625
10,-7.673963795514979,-29.6313419342041,7791.291015625
11,-341.78094834724425,17.217941284179688,4971.830078125
12,-117.1592974819188,-12.950898170471191,5225.32861328125
13,361.80055900455966,-52.51451110839844,6913.08544921875
14,-438.69950483154184,11.38830852508545,7630.37060546875
15,-312.64133364160324,4.877102851867676,5448.1201171875
16,14.479267979265114,-17.00906753540039,3071.801025390625
17,-97.30411803962865,-16.235963821411133,6827.46630859375
18,285.8995962857202,-42.21461868286133,4751.544921875
19,634.7699052140136,-68.20331573486328,6296.8671875
20,91.20415426239545,-18.764114379882812,5100.3876953125
