Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,-888,297.0846862792969,16584.400390625,707.9642857142857
2,-482,189.12464904785156,5052.7783203125,466.39285714285717
3,-829,656.3958740234375,12042.244140625,248.28571428571428
4,-228,97.33390808105469,1404.41796875,397.4642857142857
5,0,-0.3673342764377594,0.7141090035438538,6.178571428571429
6,0,-0.1209542378783226,0.7652899026870728,2.5714285714285716
7,0,-0.41582366824150085,0.8209614157676697,1.6428571428571428
8,-1,-0.35128310322761536,0.8271604776382446,92.25
9,0,-0.5075529217720032,0.8590097427368164,6.535714285714286
10,-5,0.3953891098499298,0.7894777655601501,55.82142857142857
11,-2,-0.08983530849218369,0.7900345325469971,28.142857142857142
12,-91,39.10993957519531,210.5769500732422,15.892857142857142
13,-8,1.0035568475723267,2.511301279067993,42.142857142857146
14,-88,107.98297882080078,153.2519073486328,148.75
15,-274,47.7626953125,818.9923706054688,22.428571428571427
16,-307,54.493221282958984,1431.8082275390625,36.75
17,-296,43.87593460083008,1114.611572265625,40.92857142857143
18,-460,80.60346221923828,2410.25341796875,28.642857142857142
19,-515,152.53790283203125,3399.6201171875,96.14285714285714
20,-701,110.77888488769531,5447.505859375,199.60714285714286
21,-787,143.31837463378906,6517.11669921875,173.71428571428572
22,-899,118.61160278320312,7987.52880859375,181.07142857142858
23,-1702,161.4184112548828,28908.759765625,462.35714285714283
24,-1755,196.56436157226562,32631.52734375,350.2142857142857
25,-1823,136.58323669433594,31948.826171875,467.10714285714283
26,-2068,144.83248901367188,42005.32421875,320.57142857142856
27,-1938,135.40489196777344,36030.54296875,350.85714285714283
28,-1344,102.94525909423828,20590.396484375,419.25
29,-1628,111.95449829101562,25149.119140625,481.32142857142856
30,-2256,165.99533081054688,52883.98828125,242.64285714285714
31,-2133,148.3284912109375,43654.0859375,438.17857142857144
32,-1355,93.70621490478516,19532.294921875,224.07142857142858
33,-1456,100.36746215820312,22144.96484375,380.57142857142856
34,-1403,95.83880615234375,20185.80859375,454.10714285714283
35,-1352,105.60302734375,19921.857421875,428.82142857142856
36,-1361,95.37261962890625,19861.1640625,190.14285714285714
37,-1369,97.71279907226562,19920.861328125,412.14285714285717
38,-1421,96.86790466308594,20383.09765625,419.25
39,-1393,94.96258544921875,20449.830078125,426.42857142857144
40,-1350,94.4489974975586,19922.751953125,416.85714285714283
41,-1331,93.1084213256836,19811.712890625,414.60714285714283
42,-1475,97.82034301757812,20794.07421875,459.25
43,-1458,97.85394287109375,19796.927734375,426.9642857142857
44,-1562,106.81539154052734,21986.390625,440.2857142857143
45,-1390,94.03173828125,19240.09765625,487.32142857142856
46,-1431,92.86012268066406,19814.359375,419.25
47,-1461,96.50639343261719,20488.203125,383.2857142857143
48,-1483,106.73858642578125,21176.587890625,442.7142857142857
49,-1636,108.33836364746094,23768.51953125,375.35714285714283
50,-1378,89.25081634521484,18750.388671875,414.57142857142856
51,-1414,89.33077239990234,18856.609375,416.5357142857143
52,-1428,89.77002716064453,18379.06640625,422.0
53,-1393,89.55184173583984,18958.80859375,495.7142857142857
54,-1420,91.16291046142578,18674.2265625,426.9642857142857
55,-1430,86.45673370361328,18087.107421875,414.57142857142856
56,-1390,88.44499206542969,18202.806640625,377.0
57,-1389,86.15058898925781,17773.02734375,411.75
58,-1729,105.6695327758789,22930.73828125,386.07142857142856
59,-1428,88.46955108642578,17487.443359375,372.60714285714283
60,-1435,85.0026626586914,17442.75390625,388.39285714285717
61,-1429,84.526611328125,16538.89453125,421.67857142857144
62,-1424,158.32139587402344,16876.845703125,416.85714285714283
63,-1485,85.68405151367188,17429.259765625,426.9642857142857
64,-1371,77.35380554199219,15117.083984375,450.60714285714283
65,-1343,100.69692993164062,15079.486328125,497.9642857142857
66,-1408,77.71562194824219,15923.0341796875,414.4642857142857
67,-1438,78.52473449707031,15885.2734375,416.85714285714283
68,-1391,74.62373352050781,14928.216796875,493.25
69,-1428,74.8497543334961,15061.7470703125,416.85714285714283
70,-1409,75.76181030273438,14976.8671875,142.82142857142858
71,-1476,77.36519622802734,15813.3330078125,419.25
72,-1466,74.67642211914062,15420.9091796875,419.25
73,-1437,72.90625,14844.0205078125,421.64285714285717
74,-1405,84.17872619628906,14716.65625,414.60714285714283
75,-1432,71.75762176513672,14643.458984375,424.2857142857143
76,-1402,69.26515197753906,14419.5029296875,414.60714285714283
77,-1757,93.99832153320312,20185.037109375,780.5714285714286
78,-1378,66.53700256347656,13883.470703125,414.4642857142857
79,-1418,68.14353942871094,14320.017578125,419.25
80,-1440,66.67451477050781,13792.78125,426.9642857142857
81,-1403,65.82606506347656,14139.5029296875,417.0357142857143
82,-1411,64.06979370117188,13903.9697265625,419.25
83,-1418,62.23153305053711,13648.681640625,412.14285714285717
84,-1447,62.44437026977539,13853.181640625,412.10714285714283
85,-1389,60.878013610839844,13953.0400390625,414.60714285714283
86,-1433,60.03480529785156,13539.6845703125,412.10714285714283
87,-1432,60.01262664794922,13836.28125,421.64285714285717
88,-1414,58.957237243652344,13803.4423828125,416.85714285714283
89,-1477,58.673492431640625,13811.4208984375,421.64285714285717
90,-1441,57.22154998779297,13605.2255859375,421.64285714285717
91,-1400,54.965877532958984,13565.818359375,419.25
92,-1442,56.9178581237793,13969.27734375,421.64285714285717
93,-1442,55.55489730834961,13930.3369140625,421.64285714285717
94,-1420,53.833740234375,13826.134765625,414.60714285714283
95,-1378,51.18238067626953,13673.818359375,421.64285714285717
96,-1439,54.40974807739258,14430.1337890625,421.64285714285717
97,-1458,53.63338088989258,14419.291015625,414.60714285714283
98,-1430,51.8303337097168,14397.828125,412.10714285714283
99,-1434,54.14750671386719,14743.880859375,417.0357142857143
100,-1429,49.847328186035156,14757.64453125,416.85714285714283
