Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,499.3059465611826,-12.966296195983887,21776.609375,3.892857142857143
2,488.65194423269025,-14.929707527160645,20856.6640625,12.785714285714286
3,518.4226857143641,-16.238039016723633,22794.369140625,11.857142857142858
4,482.8593811423588,-16.705549240112305,20312.849609375,6.25
5,487.3934803315537,-24.488920211791992,20870.671875,22.214285714285715
6,486.4952930807767,-15.662203788757324,20652.685546875,3.357142857142857
7,497.7590301881412,-25.27680015563965,21452.052734375,3.8214285714285716
8,493.19402231138935,-19.349933624267578,21036.14453125,29.25
9,488.3262352927934,-14.532885551452637,21107.755859375,0.25
10,480.35675447325946,-17.171293258666992,20405.953125,14.321428571428571
11,497.26515565060487,-18.36802101135254,21258.818359375,14.357142857142858
12,497.2022197621331,-11.139127731323242,21223.037109375,5.214285714285714
13,338.3902429969994,-9.127265930175781,10346.470703125,572.5714285714286
14,395.64824955333546,-13.762995719909668,13263.6044921875,6.678571428571429
15,499.7264061053024,-19.84383773803711,21122.515625,5.321428571428571
16,498.12358640867865,-11.64766788482666,21007.275390625,6.25
17,495.87543842450725,-15.247855186462402,20844.06640625,24.107142857142858
18,493.5288916298138,-25.07645606994629,20388.640625,4.035714285714286
19,492.7621145368676,-19.72361183166504,20450.4453125,2.0714285714285716
20,492.98825316401434,-33.190494537353516,20493.716796875,43.142857142857146
