Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,349.9438743850923,-15.662638664245605,13254.5869140625,3.2857142857142856
2,287.00245759170804,-16.09408950805664,9080.7900390625,3.4285714285714284
3,347.22419815983295,-18.88800811767578,13161.55859375,7.392857142857143
4,305.4630703954539,-13.86591625213623,11544.1650390625,26.107142857142858
5,276.11577451105313,-14.631999015808105,10200.1875,43.67857142857143
6,287.0898003423801,-19.201278686523438,10389.935546875,4.928571428571429
