Episode,Reward,PolicyLoss,ValueLoss,AvgWaitingTime
1,451.7445428850567,-13.859481811523438,18633.640625,2.392857142857143
2,455.3103668207694,-15.439780235290527,18896.90234375,10.928571428571429
3,441.3946224751263,-14.98867416381836,17867.24609375,15.821428571428571
4,460.5439999783505,-14.989434242248535,19332.6953125,2.2142857142857144
5,451.7566978841992,-19.998003005981445,18566.482421875,11.285714285714286
6,462.24738154856726,-15.913334846496582,19556.3671875,1.6428571428571428
7,454.7560051178024,-23.28340721130371,18866.748046875,10.285714285714286
8,464.3142732038557,-23.574462890625,18955.259765625,33.035714285714285
9,479.05653772920175,-25.510631561279297,20121.92578125,16.214285714285715
10,371.89576132792524,-10.098018646240234,11416.76171875,186.82142857142858
11,398.44939168414356,-8.907923698425293,13660.7646484375,185.67857142857142
12,466.0295916053916,-9.051137924194336,18426.861328125,31.571428571428573
13,405.3699455266698,-12.688751220703125,13534.265625,85.64285714285714
14,473.6759862137332,-22.625699996948242,18790.43359375,13.785714285714286
15,479.4593143019879,-16.462373733520508,19686.693359375,51.607142857142854
16,410.05054284426126,-11.39628791809082,14273.3798828125,214.64285714285714
17,458.75628619249875,-22.6633243560791,18046.96484375,38.857142857142854
18,455.0745710168949,-20.90262794494629,18094.87890625,13.392857142857142
19,429.70528047270165,-18.436256408691406,15818.658203125,28.25
20,481.36033351742213,-20.642375946044922,19359.10546875,12.107142857142858
21,461.46083362946797,-15.295989990234375,18060.353515625,49.57142857142857
22,415.0741092449455,-9.60285472869873,14349.6630859375,74.60714285714286
23,411.4307991763646,-24.45892333984375,14183.1416015625,11.357142857142858
24,420.11314216019343,-14.48221492767334,14251.626953125,23.642857142857142
25,486.59529979319973,-11.748983383178711,19351.275390625,3.4642857142857144
26,410.9159348168667,-13.13311767578125,13722.876953125,37.857142857142854
27,447.2530288438344,-17.1915283203125,16475.4296875,94.03571428571429
28,484.71342554179176,-25.322355270385742,18600.111328125,22.392857142857142
29,483.7261970699104,-26.13768768310547,18741.640625,16.892857142857142
30,361.5001620620104,-12.884491920471191,9495.7177734375,291.7857142857143
31,456.2793029554546,-13.095462799072266,16217.830078125,41.5
32,464.1891451963254,-15.293643951416016,17054.208984375,18.5
33,470.594896690652,-26.19439697265625,17735.3984375,6.75
34,354.8693754018076,-10.39840030670166,8390.97265625,73.71428571428571
35,420.72509896567345,-22.93310546875,13422.4580078125,65.39285714285714
36,437.0548755759034,-12.03260326385498,14355.68359375,14.964285714285714
37,409.7060675427661,-15.832259178161621,11995.7373046875,35.67857142857143
38,409.7345887922936,-18.47693634033203,11357.7158203125,16.857142857142858
39,406.94851334780066,-13.775218963623047,11436.7861328125,35.357142857142854
40,405.68017143044574,-21.757368087768555,10726.095703125,13.5
41,445.60061995688864,-16.088329315185547,14010.298828125,18.357142857142858
42,469.1868107651915,-17.320056915283203,15406.96875,13.464285714285714
43,463.2823696034402,-9.089967727661133,14690.49609375,51.57142857142857
44,403.112753189365,-19.418304443359375,10073.8505859375,57.25
45,380.7252625672645,-8.26804256439209,8565.703125,91.96428571428571
46,459.1214557240905,-15.84482192993164,14092.2001953125,22.928571428571427
47,451.7571795255486,-13.433911323547363,13141.7998046875,30.785714285714285
48,440.83763057001903,-9.25788688659668,11805.421875,28.785714285714285
49,462.9430205381293,-12.203929901123047,13424.3984375,37.357142857142854
50,466.1653045948538,-16.95379066467285,12890.2177734375,8.642857142857142
51,413.60659708047444,-15.544004440307617,8893.2978515625,6.75
52,476.9595495750744,-14.79785442352295,12835.46484375,12.25
53,477.7317058951187,-13.545626640319824,13134.677734375,8.642857142857142
54,472.9863899218117,-6.925920486450195,12171.0908203125,20.321428571428573
55,457.0349821655128,-11.973730087280273,11853.95703125,48.142857142857146
56,453.451194629237,-6.693975925445557,11618.7783203125,65.75
57,444.8476915861407,-2.4613006114959717,9988.0966796875,24.142857142857142
58,425.3922470592113,-0.980736494064331,8612.3427734375,40.892857142857146
59,482.8274321671518,-4.8785576820373535,12076.416015625,28.678571428571427
60,475.79630753360095,-8.925636291503906,11344.1748046875,33.17857142857143
61,375.18106629113083,-1.0013970136642456,5194.634765625,126.10714285714286
62,466.64632699409464,-1.6516785621643066,10377.7734375,63.57142857142857
63,455.4057735235846,1.0465073585510254,9789.3798828125,12.821428571428571
64,443.2467114090661,-0.07900819927453995,8745.177734375,32.0
65,395.1678801485252,1.5836737155914307,5972.85595703125,12.892857142857142
66,475.32051256545276,2.4046273231506348,11216.6474609375,78.67857142857143
