step,phase,total_halted,avg_speed,long_waiting,avg_density
0,0,0,7.677416666666667,0,0.007115796481263162
1,0,0,8.779717072970508,0,0.008321765017233852
2,0,0,9.587648370087324,0,0.010133750085335536
3,0,0,9.588884291277754,0,0.011339718621306227
4,0,1,9.972381090029186,0,0.011945735153437225
5,0,1,9.99440800904297,0,0.013151703689407915
6,0,0,10.422502712319881,0,0.013151703689407915
7,0,1,10.635762247676276,0,0.013751655693247608
8,0,0,10.863951543358517,0,0.013751655693247608
9,0,1,10.768616452129995,0,0.014351607697087302
10,0,1,10.455881313066088,0,0.013764629227457567
11,0,0,9.573324904955497,0,0.013764629227457562
12,0,0,9.063911213721406,0,0.012579627540505936
13,0,2,8.603547160388635,0,0.011413663916055574
14,0,4,7.989499334562027,0,0.011413663916055574
15,0,5,7.390301476664097,0,0.011413663916055574
16,0,7,7.247223653948999,0,0.010807647383924576
17,0,7,6.710255027273255,0,0.010807647383924576
18,0,9,6.5841071269463685,0,0.010207695380084881
19,0,11,7.260196140372316,0,0.009601678847953887
20,1,9,7.735652499014833,0,0.009001726844114193
21,1,8,7.76216422060153,0,0.008395710311983197
22,1,7,7.758388891201618,0,0.008395710311983197
23,1,7,7.8075996022439655,0,0.0077957583081435045
24,1,7,7.803828928972316,0,0.0077957583081435045
25,1,7,7.662295327847784,0,0.007189741776012507
26,1,7,8.016361676312265,0,0.0059898377683331215
27,1,7,7.989120992721361,0,0.0059898377683331215
28,1,7,8.715662089275716,0,0.005383821236202125
29,1,7,9.29230560177273,0,0.004783869232362432
30,1,8,9.262139150495226,0,0.004783869232362432
31,1,8,9.260310913216928,0,0.004783869232362432
32,1,8,9.260043175610255,0,0.004783869232362432
33,1,8,9.26000698198778,0,0.004783869232362432
34,1,8,9.26,0,0.004783869232362432
35,1,8,9.26,0,0.004783869232362432
36,1,8,9.26,0,0.004783869232362432
37,1,8,9.26,0,0.004783869232362432
38,1,8,9.26,0,0.004783869232362432
39,1,8,9.26,0,0.004783869232362432
40,2,6,9.26,0,0.003577900696391743
41,2,4,9.319975459880661,0,0.003577900696391743
42,2,2,9.447163468113072,0,0.003577900696391743
43,2,2,9.590046677232484,0,0.003577900696391743
44,2,2,9.70692436669131,1,0.003577900696391743
45,2,2,9.734722880843448,2,0.002371932160421054
46,2,2,9.883266450784735,2,0.002371932160421054
47,2,2,10.037872813690786,2,0.002371932160421054
48,2,2,9.083483333333335,2,0.005909827945292472
49,2,2,9.315056065699935,2,0.007702774950892895
50,2,2,9.651905556604005,2,0.008281760105713526
51,2,2,9.986448345009013,2,0.008281760105713526
52,2,2,10.568760761995351,2,0.008281760105713526
53,2,2,11.041247366267088,2,0.008281760105713526
54,2,2,11.30161113442564,2,0.008281760105713526
55,2,2,11.672164763421966,2,0.008281760105713526
56,2,2,11.719975588537126,2,0.008281760105713526
57,2,2,11.09303631988329,2,0.008281760105713526
58,2,2,10.297205048999498,2,0.008281760105713526
59,2,3,9.024944659079194,2,0.007681808101873833
60,3,1,8.672170672349772,0,0.005936859322602837
61,3,1,7.5376988926405515,0,0.005936859322602837
62,3,2,6.882463255878979,0,0.005349880852973103
63,3,2,7.861509887547709,0,0.0035569338473726807
64,3,5,8.1060337037114,0,0.0029779486925520502
65,3,5,8.103042752320816,0,0.0029779486925520502
66,3,5,8.10267749397138,0,0.0029779486925520502
67,3,5,8.102544561977872,0,0.0029779486925520502
68,3,5,8.10251492056206,0,0.0029779486925520502
69,3,5,8.102518117440896,0,0.0029779486925520502
70,3,5,8.102500000000001,0,0.0029779486925520502
71,3,5,8.102500000000001,0,0.0029779486925520502
72,3,5,8.102500000000001,0,0.0029779486925520502
73,3,5,8.102500000000001,0,0.0029779486925520502
74,3,5,8.102500000000001,0,0.0029779486925520502
75,3,5,8.102500000000001,0,0.0029779486925520502
76,3,5,8.102500000000001,0,0.0029779486925520502
77,3,5,8.102500000000001,0,0.0029779486925520502
78,3,5,8.102500000000001,0,0.0029779486925520502
79,3,5,8.102500000000001,0,0.0029779486925520502
80,0,3,10.4175,0,0.0018119850681016859
81,0,3,10.4175,0,0.0018119850681016859
82,0,3,10.4175,0,0.0018119850681016859
83,0,3,10.4175,0,0.0018119850681016859
84,0,3,10.4175,0,0.0018119850681016859
85,0,3,10.4175,0,0.0018119850681016859
86,0,3,10.4175,0,0.0018119850681016859
87,0,3,10.4175,0,0.0018119850681016859
88,0,3,10.4175,0,0.0018119850681016859
89,0,3,10.4175,0,0.0018119850681016859
90,0,3,10.4175,1,0.0018119850681016859
91,0,3,10.4175,1,0.0018119850681016859
92,0,3,10.4175,1,0.0018119850681016859
93,0,3,10.4175,3,0.0018119850681016859
94,0,3,10.4175,3,0.0018119850681016859
95,0,3,10.4175,3,0.0018119850681016859
96,0,3,6.1632125,3,0.00654978486065249
